book_id,title,author,isbn,publication_year,category,source,summary,openlibrary_key,gutenberg_id,google_books_id,text_available,text_source
2b01a42877e0,101 Ways to Improve Your Communication Skills Instantly,Jo Condrill,9780966141498,1999,Communication,google_books,Have you ever embarrassed yourself by making a grammatical error in an important interview or conversation? Crisp how-to tips and techniques are presented bullet style for beginners and pros alike. Discover your strong points and areas that need attention. Learn what works and what's holding you back. Works in the boardroom as well as the bedroom for improved results.,,,9Ki4KfF6EKcC,,
6590a017ddeb,A Short Term Program to Teach Facilitative Communication Skills to Military Science Cadets,Hollis Michael Peter,,1973,Communication,google_books,,,,VD9CEt2zXToC,,
078c6df992c6,Business Communications (According to NEP - 2020),Sanjay Gupta,,2022,Communication,google_books,"1. Process, Importance and Type of Communication, 2.Different Models and Process of Communication, 3.Barriers and Breakdowns in Communications, 4. Role, Effect and Advantages of Technology in Business Communication, 5. Non-Verbal Aspects of communications, 6. Effective Listening, 7. effective Communication, 8. Principles of Effective Communication, 9. Interview Skills, 10. Practices in Business Communication, 11. Oral Presentation, 12. Writing Skills, 13. Written Business Communication, 14. Written Business Communication - Medium : Letters, 15. Office Memorandum and Circular, 16. Proposal and Report Writing.",,,DNyiEAAAQBAJ,,
bbeac9685b68,"COMMUNICATION SKILLS, SECOND EDITION","SEN, LEENA",9788120333017,2007,Communication,google_books,"Today, the need for communication skills has become more important than ever before. Communication plays a vital role — be it the preparation one has to do to face an interview or deal with diverse business deals, or interacting with colleagues, superiors, and others. The Second Edition of this text, based on the feedback received from the readers, continues to highlight the vital skills one needs for effectively communicating in diverse situations. Divided into five parts, the text shows the power of three V’s of communication — the verbal, the visual and the vocal, examining at the same time the role of formal and informal communication methods, and stressing the significance of grapevine in organizations. It also demonstrates how important listening is, and the basic skill-sets needed by a manager for business dealings. Further, the text gives the nuances of verbal communication and the factors necessary for preparing a presentation besides giving a comprehensive view of non-verbal communication. It highlights the role of written communication, the importance of business writing, the formats of business letters, memos, and report writing, and how flawed thinking impedes written communication. The text concludes by emphasizing the crucial role played by corporate communication in enhancing an organization’s image. What’s New to This Edition : New concepts such as Fog Index/Readability Index, Business Terms, Acronyms, Abbreviations, e-mail Etiquette, Virtual Team Skills, and Social Skills. Many exercises and other inputs. Written in a clear and straightforward style and in a student-friendly fashion, this concise and compact text is intended both for students of management and for young executives and managers.",,,_fH_zMKXiTMC,,
7d25cbfaabff,Catalog of Copyright Entries,Library of Congress. Copyright Office,,1977,Communication,google_books,,,,WVYhAQAAIAAJ,,
1e8a0e9e03dc,Communication Skills,Richard Worth,9780816072309,2004,Communication,google_books,"Knowing how to communicate clearly and effectively in the workplace is a key to success. Communication Skills, Second Edition focuses on the importance of solid speaking, writing, listening, and conversational skills for thriving in the workplace. The book also covers additional communication skills that are useful in specific situations, such as techniques for conducting structured and productive meetings.",,,2qgZqEhk70UC,,
e77922fd2d4e,Communication Skills,Kay Norman,9781908625786,2019,Communication,google_books,"Communication Skills is an accessible textbook for nursing and healthcare students seeking to understand the concept of communication and to develop their communication skills. Through clear explanations, case studies and activities, the book will help you to understand the principles of communication and develop your own skills for your healthcare practice. You will learn: Why communication is fundamental to nursing and health care How to communicate in assessing, planning, providing and managing care How to communicate in promoting health and in therapeutic interventions How to communicate in difficult situations How to communicate with a diverse range of people How communication is used to improve patient safety This book will help you to demonstrate your communication skills and develop your proficiency in nursing and health care. Essentials is a series of accessible, introductory textbooks for students in nursing, health and social care. New and forthcoming titles in the series: The Care Process Communication Skills Leadership Mental Health Promoting Health and Wellbeing Study Skills",,,5zWAEAAAQBAJ,,
bd5b2e8f54bf,Communication Skills for Leaders,Bert Decker,9781418864903,2006,Communication,google_books,"Communication is a basic skill that affects all aspects of business life. Our words, gestures, appearance, and body language all speak volumes as to our intent, state of mind, and attitude. Learning to recognize these conscious and unconscious cues, as well as paying attention to others' signals, make us better communicators and leaders. Communication skills can be learned, and COMMUNICATION SKILLS FOR LEADERS (formerly THE ART OF COMMUNICATING) gives you the tools to get started. You will learn about the nine behavioral skills for effective communication, and ways you can improve in each area. You will also find several worksheets throughout to help you develop an action plan for further improvement. All the guidance you need to develop into a skilled communicator can be found in the pages of this book. With practice, you can raise your communication skill into an art form.",,,qGApAAAACAAJ,,
f78932e4c057,Communication Skills for Medicine E-Book,Margaret Lloyd,9780702042034,2009,Communication,google_books,"This title was Highly Commended (Basis of Medicine category) in the BMA Awards 2005. A highly practical account of communication for medical students, backed up with numerous case histories. In addition to the clinical interview the book covers other aspects of communication including how to promote healthy behaviour and the need for the doctor to work as part of the health care team. Reflects current importance of communication skills in curriculum. Highly practical approach. Accessible information with summary points. Covers needs for both hospital and general practice setting. Written specifically for medical students, unlike many of the competing books. Additional practical examples. More material on: professionalism; Mental Capacity Act; risk; the 'expert' patient.",,,BGktlOTBn1sC,,
e23fb232a236,Communication Skills for the Foreign-born Professional,Gregory Allen Barnes,,1982,Communication,google_books,,,,VYxpAAAAMAAJ,,
