book_id,title,author,isbn,publication_year,category,source,summary,openlibrary_key,gutenberg_id,google_books_id,text_available,text_source
2b01a42877e0,101 Ways to Improve Your Communication Skills Instantly,Jo Condrill,9780966141498,1999,Communication,google_books,Have you ever embarrassed yourself by making a grammatical error in an important interview or conversation? Crisp how-to tips and techniques are presented bullet style for beginners and pros alike. Discover your strong points and areas that need attention. Learn what works and what's holding you back. Works in the boardroom as well as the bedroom for improved results.,,,9Ki4KfF6EKcC,False,
bbeac9685b68,"COMMUNICATION SKILLS, SECOND EDITION","SEN, LEENA",9788120333017,2007,Communication,google_books,"Today, the need for communication skills has become more important than ever before. Communication plays a vital role — be it the preparation one has to do to face an interview or deal with diverse business deals, or interacting with colleagues, superiors, and others. The Second Edition of this text, based on the feedback received from the readers, continues to highlight the vital skills one needs for effectively communicating in diverse situations. Divided into five parts, the text shows the power of three V’s of communication — the verbal, the visual and the vocal, examining at the same time the role of formal and informal communication methods, and stressing the significance of grapevine in organizations. It also demonstrates how important listening is, and the basic skill-sets needed by a manager for business dealings. Further, the text gives the nuances of verbal communication and the factors necessary for preparing a presentation besides giving a comprehensive view of non-verbal communication. It highlights the role of written communication, the importance of business writing, the formats of business letters, memos, and report writing, and how flawed thinking impedes written communication. The text concludes by emphasizing the crucial role played by corporate communication in enhancing an organization’s image. What’s New to This Edition : New concepts such as Fog Index/Readability Index, Business Terms, Acronyms, Abbreviations, e-mail Etiquette, Virtual Team Skills, and Social Skills. Many exercises and other inputs. Written in a clear and straightforward style and in a student-friendly fashion, this concise and compact text is intended both for students of management and for young executives and managers.",,,_fH_zMKXiTMC,True,internet_archive
1e8a0e9e03dc,Communication Skills,Richard Worth,9780816072309,2004,Communication,google_books,"Knowing how to communicate clearly and effectively in the workplace is a key to success. Communication Skills, Second Edition focuses on the importance of solid speaking, writing, listening, and conversational skills for thriving in the workplace. The book also covers additional communication skills that are useful in specific situations, such as techniques for conducting structured and productive meetings.",,,2qgZqEhk70UC,False,
e77922fd2d4e,Communication Skills,Kay Norman,9781908625786,2019,Communication,google_books,"Communication Skills is an accessible textbook for nursing and healthcare students seeking to understand the concept of communication and to develop their communication skills. Through clear explanations, case studies and activities, the book will help you to understand the principles of communication and develop your own skills for your healthcare practice. You will learn: Why communication is fundamental to nursing and health care How to communicate in assessing, planning, providing and managing care How to communicate in promoting health and in therapeutic interventions How to communicate in difficult situations How to communicate with a diverse range of people How communication is used to improve patient safety This book will help you to demonstrate your communication skills and develop your proficiency in nursing and health care. Essentials is a series of accessible, introductory textbooks for students in nursing, health and social care. New and forthcoming titles in the series: The Care Process Communication Skills Leadership Mental Health Promoting Health and Wellbeing Study Skills",,,5zWAEAAAQBAJ,True,internet_archive
bd5b2e8f54bf,Communication Skills for Leaders,Bert Decker,9781418864903,2006,Communication,google_books,"Communication is a basic skill that affects all aspects of business life. Our words, gestures, appearance, and body language all speak volumes as to our intent, state of mind, and attitude. Learning to recognize these conscious and unconscious cues, as well as paying attention to others' signals, make us better communicators and leaders. Communication skills can be learned, and COMMUNICATION SKILLS FOR LEADERS (formerly THE ART OF COMMUNICATING) gives you the tools to get started. You will learn about the nine behavioral skills for effective communication, and ways you can improve in each area. You will also find several worksheets throughout to help you develop an action plan for further improvement. All the guidance you need to develop into a skilled communicator can be found in the pages of this book. With practice, you can raise your communication skill into an art form.",,,qGApAAAACAAJ,False,
352f49220923,Conversational Intelligence: How Great Leaders Build Trust and Get Extraordinary Results,Judith E. Glaser,9781937134679,2013,Communication,curated_seed,"""The key to success in life and business is to become a master at Conversational Intelligence. It's not about how smart you are, but how open you are to learn new and effective powerful conversational rituals that prime the brain for trust, partnership, and mutual success. Conversational Intelligence translates the wealth of new insights coming out of neuroscience from across the globe, and brings the science down to earth so people can understand and apply it in their everyday lives. Author Judith Glaser presents a framework for knowing what kind of conversations trigger the lower, more primitive brain; and what activates higher-level intelligences such as trust, integrity, empathy, and good judgment. Conversational Intelligence makes complex scientific material simple to understand and apply through a wealth of easy to use tools, examples, conversational rituals, and practices for all levels of an organization""--",,,klBa0QEACAAJ,False,
5475f520b1a2,Crucial Conversations: Tools for Talking When Stakes Are High,Kerry Patterson,9781260474183,2021,Communication,curated_seed,"Keep your cool and get the results you want when faced with crucial conversations. This New York Times bestseller and business classic has been fully updated for a world where skilled communication is more important than ever. The book that revolutionized business communications has been updated for today’s workplace. Crucial Conversations provides powerful skills to ensure every conversation—especially difficult ones—leads to the results you want. Written in an engaging and witty style, the book teaches readers how to be persuasive rather than abrasive, how to get back to productive dialogue when others blow up or clam up, and it offers powerful skills for mastering high-stakes conversations, regardless of the topic or person. This new edition addresses issues that have arisen in recent years. You’ll learn how to: Respond when someone initiates a crucial conversation with you Identify and address the lag time between identifying a problem and discussing it Communicate more effectively across digital mediums When stakes are high, opinions vary, and emotions run strong, you have three choices: Avoid a crucial conversation and suffer the consequences; handle the conversation poorly and suffer the consequences; or apply the lessons and strategies of Crucial Conversations and improve relationships and results. Whether they take place at work or at home, with your coworkers or your spouse, crucial conversations have a profound impact on your career, your happiness, and your future. With the skills you learn in this book, you'll never have to worry about the outcome of a crucial conversation again.",,,w3H1zQEACAAJ,False,
65b4c9b6d072,Difficult Conversations: How to Discuss What Matters Most,Douglas Stone,9780143118442,2010,Communication,curated_seed,"The 10th-anniversary edition of the New York Times business bestseller-now updated with ""Answers to Ten Questions People Ask"" We attempt or avoid difficult conversations every day-whether dealing with an underperforming employee, disagreeing with a spouse, or negotiating with a client. From the Harvard Negotiation Project, the organization that brought you Getting to Yes, Difficult Conversations provides a step-by-step approach to having those tough conversations with less stress and more success. you'll learn how to: · Decipher the underlying structure of every difficult conversation · Start a conversation without defensiveness · Listen for the meaning of what is not said · Stay balanced in the face of attacks and accusations · Move from emotion to productive problem solving",,,D5HxtvaRzdwC,False,
19a6060042a8,How to Win Friends and Influence People,Dale Carnegie,9780671027032,1936,Communication,curated_seed,"Do you feel stuck in life, not knowing how to make it more successful? Do you wish to become more popular? Are you craving to earn more? Do you wish to expand your horizon, earn new clients and win people over with your ideas? How to Win Friends and Influence People is a well-researched and comprehensive guide that will help you through these everyday problems and make success look easier. You can learn to expand your social circle, polish your skill set, find ways to put forward your thoughts more clearly, and build mental strength to counter all hurdles that you may come across on the path to success. Having helped millions of readers from the world over achieve their goals, the clearly listed techniques and principles will be the answers to all your questions.",,,hCf-DwAAQBAJ,False,
32c955ae14e9,Just Listen: Discover the Secret to Getting Through to Absolutely Anyone,Mark Goulston,9780814436479,2015,Communication,curated_seed,"Getting through to someone is a critical, fine art. Whether you are dealing with a harried colleague, a stressed-out client, or an insecure spouse, things will go from bad to worse if you can't break through emotional barricades and get your message thoroughly communicated and registered. Drawing on his experience as a psychiatrist, business consultant, and coach, author Mark Goulston combines his background with the latest scientific research to help you turn the “impossible” and “unreachable” people in their lives into allies, devoted customers, loyal colleagues, and lifetime friends. In Just Listen, Goulston provides simple yet powerful techniques you can use to really get through to people including how to: make a powerful and positive first impression; listen effectively; make even a total stranger (potential client) feel understood; talk an angry or aggressive person away from an instinctual, unproductive reaction and toward a more rational mindset; and achieve buy-in--the linchpin of all persuasion, negotiation, and sales. Whether they're coworkers, friends, strangers, or enemies, the first make-or-break step in persuading anyone to do anything is getting them to hear you out. The invaluable principles in Just Listen will get you through that first tough step with anyone. With this groundbreaking book, you will be able to master the fine but critical art of effective communication.",,,eaqgBgAAQBAJ,False,
